"index","date","cloud_cover","sunshine","global_radiation","max_temp","mean_temp","min_temp","precipitation","pressure","snow_depth"
"30","19790131","5","1.6","38","9.1","2.1","-3.1","2.4","101390","0"
"31","19790201","8","0","19","4","5.2","1.2","10.1","99490","0"
"32","19790202","5","1.4","37","5.9","2.8","1.5","0","99890","0"
"33","19790203","1","8.7","85","4.5","0.9","-4.1","0","100770","0"
"34","19790204","8","0.1","23","6","1.6","-1.2","0","100060","0"
"35","19790205","6","0.8","33","4","3.7","1.4","0","100250","0"
"36","19790206","4","6.8","78","6.8","1.2","-1.6","9","101020","0"
"37","19790207","","0","21","3.7","3.3","-0.2","0.4","99450","0"
"38","19790208","6","1.9","45","4","2","0.3","0","100740","0"
"39","19790209","8","0","22","3.5","2.4","0.8","0","100310","0"
"40","19790210","8","0","23","2.9","2.8","2.1","0","99730","0"
"41","19790211","8","0","23","5.4","2.4","1.9","4.4","99170","0"
"42","19790212","8","0.1","27","8.1","2.8","0.3","6.7","98430","1"
"43","19790213","8","0","24","0.2","4.2","0.3","9.1","98130","0"
"44","19790214","6","2.4","54","-0.8","-0.2","-0.7","0","99380","1"
"45","19790215","7","0","25","0.6","-2.2","-3.7","0.1","100830","0"
"46","19790216","8","0","25","-0.8","-1.2","-3.1","0","102270","1"
"47","19790217","8","0","26","0.7","-1.2","-1.5","0","102180","0"
"48","19790218","8","0","26","1.9","-0.6","-1.8","0","101970","0"
"49","19790219","8","0","27","2.8","0.5","-0.9","0.1","102530","0"
"50","19790220","","0","27","3.6","1.6","0.3","0","103010","0"
"51","19790221","8","0","28","7.4","2.1","0.6","0.6","102640","0"
"52","19790222","5","2.6","63","8.7","4.3","1.2","1.8","102790","0"
"53","19790223","4","7.4","104","5.5","4.4","0.2","0","103430","0"
"54","19790224","4","1.9","58","6.9","2.9","0.3","0","104130","0"
"55","19790225","3","8.1","112","6.7","1.8","-3.4","0","104270","0"
"56","19790226","","4.2","82","8.9","1.6","-3.4","0","103590","0"
"57","19790227","6","4.4","85","6.1","3.7","-1.5","0.8","102090","0"
"58","19790228","6","2.1","64","9.7","4.4","2.7","0.9","100040","0"
"59","19790301","4","6.4","115","11.9","3.5","-2.7","0.2","101100","0"
"60","19790302","8","0","35","12.6","6.8","1.6","0","101640","0"
"61","19790303","8","0.1","40","10.5","11","9.4","5.3","101850","0"
"62","19790304","4","8.7","140","11","7.4","4.3","0","102410","0"
"63","19790305","4","6.4","121","9","5.4","-0.1","0","102730","0"
"64","19790306","6","3.7","95","9.4","6.3","3.6","2.8","100950","0"
"65","19790307","2","7.4","133","10.5","5.6","1.9","0","100800","0"
"66","19790308","4","5.1","113","11","5.6","0.7","8","101590","0"
"67","19790309","6","1.6","72","11.5","7.8","4.5","3.1","99940","0"
"68","19790310","7","0","40","13.8","5.8","0","3.8","100740","0"
"69","19790311","7","0.2","48","10.7","8.2","2.7","0","100110","0"
"70","19790312","5","4.8","115","4.9","7.2","3.7","1.1","100880","0"
"71","19790313","8","0","42","3.8","4.6","4.4","20.3","100800","0"
"72","19790314","8","0","43","2.5","2.8","1.8","0.5","100580","0"
"73","19790315","8","0","43","1.3","1.8","1.2","3.1","100020","0"
"74","19790316","8","0","44","6.9","0.7","0.1","11.8","99160","0"
"75","19790317","5","4.3","116","9.1","3.5","0.1","0.3","99460","1"
"76","19790318","6","4.4","119","6.1","5.1","1.1","0.7","99970","0"
"77","19790319","7","0.2","54","11","4.2","2.4","1","100230","0"
"78","19790320","6","4","116","8.5","7","3","2.4","99550","0"
"79","19790321","4","6.7","149","9.6","5.7","2.9","3.3","99490","0"
"80","19790322","4","6","143","9.2","5","0.5","0.1","100520","0"
"81","19790323","1","10.7","194","11.5","3.1","-3","0","101660","0"
"82","19790324","5","7","158","15.3","5","-1.6","9.1","101330","0"
"83","19790325","7","0.7","70","8","10.2","5","0.2","99040","0"
"84","19790326","7","1.4","85","11.3","6.2","4.3","5.4","98870","0"
"85","19790327","6","5.8","148","8.1","7.2","3","4.2","98270","0"
"86","19790328","7","3.1","114","7.6","4.8","1.4","4.1","98400","0"
"87","19790329","8","0.7","74","7.6","4.8","1.9","3.3","99540","0"
"88","19790330","8","0","53","10.6","5.5","3.4","0.7","101330","0"
"89","19790331","7","0.2","62","11.6","5.4","0.3","0.1","101270","0"
"90","19790401","6","2.7","112","8.3","8","4.5","2.8","100890","0"
"91","19790402","5","3.4","124","8.6","4.4","0.5","3","100240","0"
"92","19790403","5","3.1","121","7.9","3.8","-1.1","0","99910","0"
"93","19790404","4","2.7","116","8","4","0","0","100270","0"
"94","19790405","6","2.1","107","7.9","4","0","0.1","100920","0"
"95","19790406","5","0.1","63","9.8","3.1","-1.7","0","101170","0"
"96","19790407","8","2.3","112","9.3","5.8","1.8","28.5","101230","0"
"97","19790408","8","0","58","13.7","6.8","4.2","7.8","101100","0"
"98","19790409","8","1.8","105","16.1","9.5","5.3","0","100480","0"
"99","19790410","7","1.3","96","15.9","11.8","7.5","8.4","99850","0"
"100","19790411","6","5.1","159","12.8","13.1","10.3","0.2","99720","0"
"101","19790412","5","4.8","156","17.5","10.1","7.4","1.9","100420","0"
"102","19790413","7","5.9","173","21.7","12.8","8","0","101140","0"
"103","19790414","6","9.4","219","22.4","15.2","8.6","0","101360","0"
"104","19790415","6","8.1","205","15.2","15.3","8.2","0","102270","0"
"105","19790416","5","9.9","228","9","11.3","7.4","0","102730","0"
"106","19790417","7","0","64","13.2","7.3","5.6","0","102910","0"
"107","19790418","3","10.9","243","14.5","7.2","1.2","0","103120","0"
"108","19790419","7","0.7","90","12.7","10.2","5.9","1.4","102630","0"
"109","19790420","7","2.4","126","12.3","10.6","8.4","0","101980","0"
"110","19790421","6","0.3","80","13.5","8","3.7","0","101370","0"
"111","19790422","7","4.3","160","13.5","8.7","3.9","5","100750","0"
"112","19790423","7","0.4","84","11.5","11","8.4","11.6","99390","0"
"113","19790424","6","2.9","139","11.4","9","6.5","0.9","99640","0"
"114","19790425","6","5.8","186","12","7.4","3.5","2.9","100740","0"
"115","19790426","6","5.5","182","12","8.6","5.2","0.1","101940","0"
"116","19790427","6","2.8","139","12.6","9.3","6.6","2.4","102830","0"
"117","19790428","7","0.8","98","13.9","9.8","6.9","0.4","101900","0"
"118","19790429","6","0.1","76","10.9","8","2.1","0.1","101240","0"
"119","19790430","6","6.7","204","7.5","8.2","5.5","0.1","100820","0"
"120","19790501","8","0.3","86","8","5.6","3.8","14.2","100280","0"
"121","19790502","5","7.2","214","10","4.6","1.1","1.4","100480","0"
"122","19790503","3","9.4","245","9.1","4.6","-0.9","0","100930","0"
"123","19790504","3","9.9","252","11.1","4.4","-0.3","0.4","101590","0"
"124","19790505","4","9.1","243","12.4","6.4","1.7","0","102060","0"
"125","19790506","4","8.8","240","15","6.7","1","0","102340","0"
"126","19790507","7","5.9","199","16","9.4","3.9","0","102110","0"
"127","19790508","7","3.2","156","15.6","11.2","6.4","0","101960","0"
"128","19790509","4","8.4","237","13.6","10","4.5","0","102300","0"
"129","19790510","8","0.5","97","16.1","10.4","7.3","17.8","102700","0"
"130","19790511","8","0.1","82","20.8","12.6","9.2","0.4","102230","0"
"131","19790512","7","4.9","188","23.4","16","11.2","0","103000","0"
"132","19790513","4","13","301","26.1","17.4","11.5","0","103160","0"
"133","19790514","2","14.2","311","26.2","18.5","10.9","0","102810","0"
"134","19790515","3","13.4","308","22.5","19.6","12.9","0","101770","0"
"135","19790516","6","6.7","219","15.2","17.4","12.4","1.1","100410","0"
"136","19790517","5","10","266","16","11.8","8.5","0.2","100130","0"
"137","19790518","4","10.7","276","17.2","12.2","8.3","0","100910","0"
"138","19790519","1","14.3","303","14","10.9","4.6","0.5","101780","0"
"139","19790520","7","0","79","15.1","11.2","8.5","15.5","100650","0"
"140","19790521","6","6.3","216","15.8","11.8","8.4","7.1","100470","0"
"141","19790522","6","8.7","252","14.3","11.7","7.6","3.9","100790","0"
"142","19790523","5","6","212","14.6","11.8","9.4","1.3","100440","0"
"143","19790524","4","10","271","13.4","11","7.3","5.7","100620","0"
"144","19790525","5","8.5","251","15.5","9.4","5.4","5.6","100560","0"
"145","19790526","7","0.9","115","15.9","11","6.6","5.6","100080","0"
"146","19790527","4","3.3","168","15.9","11.3","6.7","0","100520","0"
"147","19790528","6","1.3","126","18.6","11.6","7.2","4.2","100910","0"
"148","19790529","7","3.3","169","20.1","15.8","13","0.1","101160","0"
"149","19790530","7","1.7","136","16.2","16.1","12.1","2","101390","0"
"150","19790531","7","0.6","108","18.7","13.8","11.5","0","101700","0"
"151","19790601","6","6.8","230","21.2","13.6","8.4","1.9","102750","0"
"152","19790602","7","5.9","216","19.2","16.4","11.5","0","102760","0"
"153","19790603","8","2","145","19.3","15","10.8","0","102290","0"
"154","19790604","7","0","80","20.4","15.9","12.5","0","101790","0"
"155","19790605","6","6.2","222","16.7","16.5","12.6","0","101830","0"
"156","19790606","5","7.3","239","14.4","12.5","8.3","0","101870","0"
"157","19790607","5","2.5","157","17.2","12","9.5","5.7","101790","0"
"158","19790608","6","3.8","182","18.7","12.2","7.3","0","101740","0"
"159","19790609","7","0.3","98","17.9","15.4","12.2","0","101720","0"
"160","19790610","7","2.5","157","16.2","15","12.1","4","101930","0"
"161","19790611","7","0.2","94","15.4","13","9.7","0.1","102020","0"
"162","19790612","7","0","81","18.1","12.4","9.4","7.9","101940","0"
"163","19790613","8","0.6","110","16.4","15.3","12.5","7.2","101150","0"
"164","19790614","7","1.2","127","16.1","14.4","12.5","2.1","100630","0"
"165","19790615","6","3.2","172","19.2","11.8","7.4","4.5","100650","0"
"166","19790616","6","5.8","218","20.7","14.6","9.9","0","102150","0"
"167","19790617","7","0.6","110","22.6","17","13.3","0","102920","0"
"168","19790618","5","6.2","224","25.5","18.7","14.8","0","102960","0"
"169","19790619","1","9.8","277","25.8","19","12.6","0","102570","0"
"170","19790620","2","11.3","297","19.4","19","12.2","0","102030","0"
"171","19790621","6","0.6","110","20.1","17","14.6","0.9","101500","0"
"172","19790622","1","15","343","19.5","15.2","10.3","0","101730","0"
"173","19790623","5","6.1","223","16.6","14.9","10.3","0","101270","0"
"174","19790624","5","5.5","213","18.5","13.8","11","1.2","100720","0"
"175","19790625","5","8.6","260","19.9","14","9.5","2.1","101250","0"
"176","19790626","6","7.5","244","21.4","15.2","10.5","0","101640","0"
"177","19790627","5","5.9","219","20.8","16","10.6","0","101970","0"
"178","19790628","4","9.3","269","17.6","15.5","10.2","0","102070","0"
"179","19790629","6","5.5","212","16.6","15.8","13.9","0","101890","0"
"180","19790630","7","0.1","89","18.5","14.1","11.6","0","102260","0"
"181","19790701","5","3.6","179","18.7","13.8","9","0","102510","0"
"182","19790702","5","4.7","198","22.1","15.1","11.5","0","102390","0"
"183","19790703","5","7.1","236","23.4","16.9","11.7","0","102470","0"
"184","19790704","4","6.3","224","25.5","18.4","13.4","0","102840","0"
"185","19790705","2","12.5","285","25.1","19.3","13.1","0","102970","0"
"186","19790706","4","8.5","256","21.9","19.6","14.1","0","102680","0"
"187","19790707","6","5.5","210","23.1","17.6","13.4","0","102140","0"
"188","19790708","7","5.6","212","20.8","18","13","0.5","101970","0"
"189","19790709","6","8.1","249","22","18.6","16.5","0","101820","0"
"190","19790710","6","8.6","256","20.8","17.2","12.4","0","102370","0"
"191","19790711","7","0.6","107","25.1","17.4","14","0","102180","0"
"192","19790712","4","13","304","26.2","18.4","11.6","0","101840","0"
"193","19790713","3","10.3","278","22.1","19.3","12.4","0","102060","0"
"194","19790714","5","11.2","289","21.1","17.6","13","0","102640","0"
"195","19790715","7","4.5","190","23.6","18.3","15.5","0","102730","0"
"196","19790716","7","3.1","165","26.7","17.8","12.1","0","102370","0"
"197","19790717","3","11.9","296","21.8","20","13.4","0","102030","0"
"198","19790718","6","0.6","105","17.7","18.9","16","0","101360","0"
"199","19790719","8","0.7","108","21.5","15.8","14","0","101400","0"
"200","19790720","6","8.7","252","19.5","17.6","13.6","0","101450","0"
"201","19790721","6","3.5","170","18.1","16.2","13","0","101380","0"
"202","19790722","6","0.1","84","18.7","13.8","9.4","0","102260","0"
"203","19790723","7","0.4","97","21.1","15.8","12.9","0","102440","0"
"204","19790724","6","2.3","145","25.2","16.7","12.3","8.5","102050","0"
"205","19790725","5","5.8","206","27.1","18.9","12.6","0","101860","0"
"206","19790726","6","10.7","274","29.9","20.2","13.2","0","101970","0"
"207","19790727","5","11.3","280","27.4","22.2","14.6","0","102060","0"
"208","19790728","5","5.8","204","19.8","21.9","16.4","8","101890","0"
"209","19790729","6","0.9","110","21.5","18.6","17.3","0.1","101070","0"
"210","19790730","6","0.7","103","20.8","17.8","14.1","2.4","100830","0"
"211","19790731","6","5.9","203","23.1","17.8","14.8","2.2","100220","0"
"212","19790801","5","6.1","205","21.6","18.6","14.1","0","100070","0"
"213","19790802","5","5.3","192","20","17.8","14","1","100530","0"
"214","19790803","6","4.2","174","21.6","17","14","3","101320","0"
"215","19790804","6","7.2","219","22.5","17.9","14.2","0","102030","0"
"216","19790805","6","9.7","251","24.8","17","11.4","0","101900","0"
"217","19790806","6","5.5","192","23.1","19.2","13.6","0.2","101360","0"
"218","19790807","7","3.2","153","20.1","19.6","16.1","0","100740","0"
"219","19790808","6","2.7","144","20.1","15.7","11.3","11","101090","0"
"220","19790809","6","3.3","154","20","16.6","13","3.1","100340","0"
"221","19790810","6","5.5","188","23.6","15","9.9","0.3","101470","0"
"222","19790811","6","5.5","187","25","19.3","15","0.9","101570","0"
"223","19790812","6","1.5","116","21.5","20.6","16.3","0","101800","0"
"224","19790813","8","0.2","79","20.4","19.2","16.9","1.2","101450","0"
"225","19790814","6","8.1","220","21.3","18.6","16.7","0","100190","0"
"226","19790815","4","9.1","232","21","16","10.7","0","101210","0"
"227","19790816","5","6.2","192","18.3","15.4","9.8","5.8","101370","0"
"228","19790817","7","0.7","93","18.2","16","13.7","2.3","100550","0"
"229","19790818","7","0.1","72","19.8","15.4","12.7","0","101440","0"
"230","19790819","6","0.6","89","22.8","16.6","13.4","0","101680","0"
"231","19790820","6","6.4","190","19.8","17.4","11.9","2.3","101820","0"
"232","19790821","5","9.9","233","19.6","16.6","13.4","0.2","101480","0"
"233","19790822","4","8.1","210","16.1","14.8","10","0","101380","0"
"234","19790823","4","5.4","173","16.9","12.4","8.8","2.1","100820","0"
"235","19790824","6","2.7","130","18.3","13.3","9.7","0","100940","0"
"236","19790825","6","2.5","126","18.7","13.2","8","0","101080","0"
"237","19790826","5","7.4","196","17.4","14.6","10.5","0","101520","0"
"238","19790827","4","8.3","205","21.8","13.4","9.4","0","102080","0"
"239","19790828","0","12.5","251","23.9","13.8","5.7","0","102530","0"
"240","19790829","4","12","244","26","16.4","9","0","102560","0"
"241","19790830","3","10.6","227","23.1","18.8","11.7","0","102090","0"
"242","19790831","6","0.8","86","22.8","18","13","0","102000","0"
"243","19790901","6","4.6","145","21.6","19.1","15.4","3.6","101790","0"
"244","19790902","6","6.3","166","19.4","18.3","15","0.9","101410","0"
"245","19790903","7","1.6","97","21.7","16.2","13.1","0","101660","0"
"246","19790904","4","8","182","23.6","16.1","10.5","0","102500","0"
"247","19790905","0","11.3","215","25.9","16.8","10","0","101980","0"
"248","19790906","2","8.5","185","21.9","19.2","12.6","0","101150","0"
"249","19790907","4","8.6","184","24.3","17.2","12.5","0","101770","0"
"250","19790908","","5.9","153","21.8","17.9","11.5","0","101870","0"
"251","19790909","6","3.7","124","21.2","18.5","15.2","0","101990","0"
"252","19790910","7","3.9","125","23.2","17.7","14.2","0","102460","0"
"253","19790911","2","9.5","187","17.4","16.8","10.3","0","102250","0"
"254","19790912","4","2.4","102","18.5","13.6","9.8","0","101910","0"
"255","19790913","4","9.9","187","18.2","15.4","12.4","0","101880","0"
"256","19790914","4","7.1","157","17.4","11.4","4.7","0","102260","0"
"257","19790915","3","10.6","190","20.2","11.7","6","0","102860","0"
"258","19790916","1","11.2","194","21.2","13.6","6.9","0","102530","0"
"259","19790917","4","5.2","132","20.4","15.4","9.6","0","101540","0"
"260","19790918","8","0","46","18.3","16.3","12.2","5.5","101230","0"
"261","19790919","8","0","46","17.6","17.4","16.4","7","101340","0"
"262","19790920","3","10.9","184","15.5","14.2","10.7","0","101240","0"
"263","19790921","3","6.4","139","14.2","10.5","5.5","3.3","101680","0"
"264","19790922","2","9.3","166","14.7","9.2","4.3","0","102230","0"
"265","19790923","5","0.5","59","16.6","9.5","4.3","0.3","102270","0"
"266","19790924","5","7.9","149","18.6","12.1","7.6","0","102350","0"
"267","19790925","8","0.6","60","21","13.5","8.4","0","102100","0"
"268","19790926","7","1.4","73","17.7","17.2","13.5","0.2","101880","0"
"269","19790927","6","6.5","131","17.4","15.4","13.2","0","102590","0"
"270","19790928","4","7.4","138","17.1","12.5","7.6","0","103190","0"
"271","19790929","5","6.9","132","18.7","12","6.8","0","102800","0"
"272","19790930","6","1.5","71","19","14.4","10.1","0","102070","0"
"273","19791001","5","4.6","107","20.5","14.3","9.6","0","101850","0"
"274","19791002","5","6.3","122","20.1","13.6","6.7","0","101820","0"
"275","19791003","7","0.7","55","17","15.7","11.3","0.9","101170","0"
"276","19791004","7","1.8","71","17.1","15.6","14.3","0","100500","0"
"277","19791005","3","9.1","141","18.8","11.6","6.1","0","100880","0"
"278","19791006","6","5.4","108","19.9","13.2","7.7","2.1","100920","0"
"279","19791007","5","5.7","109","21.7","15.9","11.9","0","101140","0"
"280","19791008","7","5.3","104","21.1","16.3","10.9","10.5","101390","0"
"281","19791009","7","3.9","90","16.7","18.2","15.2","9.1","100910","0"
"282","19791010","8","0","33","18.4","15.6","14.4","11.9","100280","0"
"283","19791011","5","7.1","115","19.2","14.4","10.5","0.1","100310","0"
"284","19791012","5","6","105","18.1","14.6","10","0.3","99820","0"
"285","19791013","6","2.4","70","17.3","15.6","13","0","99350","0"
"286","19791014","5","5.3","96","17.9","13.1","8.9","0","99510","0"
"287","19791015","","2.7","71","16","12.4","7","0","99970","0"
"288","19791016","7","3.1","74","16","12.6","9.2","0","101160","0"
"289","19791017","7","1.7","58","15.8","12.6","9.1","1","102210","0"
"290","19791018","3","9.5","121","18","12.2","8.6","0","102730","0"
"291","19791019","6","5.7","93","14.4","13.4","8.8","0","102560","0"
"292","19791020","7","0.6","41","15","12.4","10.5","0","102690","0"
"293","19791021","4","3.7","74","13.8","10.6","6.3","0","102730","0"
"294","19791022","4","3.9","74","11.8","11.2","8.5","0","102300","0"
"295","19791023","6","4.3","77","13.7","9","6.1","0","101820","0"
"296","19791024","6","2.3","58","13.6","10.8","7.8","7.3","101330","0"
"297","19791025","8","0","26","12.9","11.6","9.6","18.8","100710","0"
"298","19791026","8","0","25","12.4","11.6","10.2","3.1","100740","0"
"299","19791027","3","6.1","85","10.6","9.1","5.8","0","100950","0"
"300","19791028","3","4.3","71","12.1","5.8","0.9","0","100830","0"
"301","19791029","4","8","95","14.3","7.7","3.3","0","100930","0"
"302","19791030","7","0","24","14.9","8.5","2.7","3.6","101050","0"
"303","19791031","5","5.4","76","13.9","11.2","7.5","0","100710","0"
"304","19791101","4","3.6","62","13.2","10","6.2","0","101480","0"
"305","19791102","4","7.6","87","15.1","7.5","1.8","5.4","102630","0"
"306","19791103","8","0","22","15.1","9.9","4.7","0.3","102310","0"
"307","19791104","7","0","22","12.5","12.8","10.6","0.8","101320","0"
"308","19791105","4","4.9","67","13.1","10","7.4","3.4","100580","0"
"309","19791106","8","0.1","24","13.8","10.8","8.6","4.8","100010","0"
"310","19791107","6","0","21","9.6","10.2","6.5","3.6","100200","0"
"311","19791108","7","0","20","9.5","6.8","4","0.6","100510","0"
"312","19791109","3","5.5","67","9.1","6.2","2.8","2.3","100930","0"
"313","19791110","1","7.5","77","11","3.6","-1.8","0","102230","0"
"314","19791111","7","0.2","24","7.4","5.7","0.4","9.2","101740","0"
"315","19791112","5","3.4","51","6.5","5.6","3.7","0","100810","0"
"316","19791113","4","6.2","67","7.3","2.4","-1.8","2.6","100890","0"
"317","19791114","8","0.1","21","5.8","3.3","-0.7","1.2","99310","0"
"318","19791115","8","0.1","21","6.2","4.4","3.1","1.4","99210","0"
"319","19791116","7","0","18","8.5","4.4","2.5","0.5","99890","0"
"320","19791117","","0","17","10","4.8","1.2","0.9","100840","0"
"321","19791118","4","6.5","64","9.8","6","2","0","100570","0"
"322","19791119","4","2.3","39","6.4","6.2","2.5","0","101710","0"
"323","19791120","","0","17","6.4","3.4","0.5","0","102950","0"
"324","19791121","","0","16","10.2","3","-0.4","0.2","103390","0"
"325","19791122","8","0","16","11.3","5","-0.3","0.1","102890","0"
"326","19791123","7","0.2","20","8.5","8.8","6.2","0.1","102160","0"
"327","19791124","2","5.6","55","14","4.4","0.2","0","102200","0"
"328","19791125","6","0","15","15","7.6","1.3","0","102110","0"
"329","19791126","8","0","15","14.5","11.3","7.6","10.8","101530","0"
"330","19791127","7","0.2","19","12.9","11.2","8","0","102290","0"
"331","19791128","4","2.4","36","12.4","11.4","9.8","0","102590","0"
"332","19791129","4","1.1","27","14.4","8.2","4","0.1","102270","0"
"333","19791130","6","0.6","22","13.5","10","5.6","0","101670","0"
"334","19791201","6","2.9","36","14.2","11.2","9","0","101950","0"
"335","19791202","8","0","13","13.3","11.8","9.4","0.6","101870","0"
"336","19791203","4","3.1","36","14.1","10.4","7.6","0","102150","0"
"337","19791204","6","0.7","21","15.6","9.8","5.6","0","102280","0"
"338","19791205","8","0","13","14.7","12.2","8.8","4.1","101550","0"
"339","19791206","8","0","13","13.6","11.7","8.7","0","102250","0"
"340","19791207","7","0","13","11.7","11.9","10.2","1.8","101440","0"
"341","19791208","7","0","13","14.3","11.2","10.7","2","100880","0"
"342","19791209","7","0.4","18","11.2","11.4","8.4","8.6","99490","0"
"343","19791210","4","3.8","38","8.4","9.6","8","6.7","98860","0"
"344","19791211","6","0","12","11.9","7.6","6.7","0.7","99040","0"
"345","19791212","5","0","12","11.7","6.8","1.8","2","101150","0"
"346","19791213","5","3","33","11.4","7.5","3.3","13.8","100200","0"
"347","19791214","6","4.4","40","8","7.9","4.4","3.7","99130","0"
"348","19791215","6","0.8","20","10.5","6.8","5.7","0.3","98480","0"
"349","19791216","5","0.4","17","8","6.8","3","0","100480","0"
"350","19791217","5","0.2","15","6.7","5.7","3.4","0.2","100620","0"
"351","19791218","5","0.3","16","5.3","5.3","3.9","3.1","101040","0"
"352","19791219","5","3.4","35","5","3.6","1.9","0.4","101770","0"
"353","19791220","5","2.3","29","3.9","3.4","1.7","0","102450","0"
"354","19791221","5","2.9","32","3.2","2.8","1.7","1.6","102040","0"
"355","19791222","8","0","12","2.7","1.3","-0.6","0.7","100910","1"
"356","19791223","8","0","12","4.8","2","1.3","0.2","100290","0"
"357","19791224","6","0","12","5.3","2.7","0.6","0","101290","0"
"358","19791225","1","5.4","44","7.8","0.4","-4.4","0.1","102320","0"
"359","19791226","5","0.5","18","11.2","1.8","-4.2","4.3","102320","0"
"360","19791227","8","0","12","7.1","6.9","2.6","35.6","100380","0"
"361","19791228","6","2","28","6.2","4.1","1.1","0.2","100250","0"
"362","19791229","4","5.5","45","4.4","4","1.7","0.1","","0"
"363","19791230","2","2.2","29","4.3","1.8","-0.8","0","100350","0"
"364","19791231","3","5.4","45","1","1.4","-1.5","0","101380","0"
"365","19800101","4","0.1","14","2.3","-1.8","-4.6","0","101400","0"
"366","19800102","2","6.7","51","10.9","-1.8","-6","0.2","102440","0"
"367","19800103","8","0","13","9.7","2.6","-5.7","9.9","101850","0"
"368","19800104","5","3.8","39","8","5.2","0.8","0","100510","0"
"369","19800105","4","1","23","8.4","4.8","1.6","0","100660","0"
"370","19800106","6","3.2","36","6.5","5.8","3.3","0","101120","0"
"371","19800107","6","0.7","21","5","5.2","3.9","0","101730","0"
"372","19800108","7","0","13","4.9","3.8","2.6","0.1","102230","0"
"373","19800109","6","0.4","19","3.9","2.6","0.3","0","101980","0"
"374","19800110","6","0","14","3.6","2.7","1.5","0","102890","0"
"375","19800111","6","0.7","22","2.5","1.6","-0.3","0","103860","0"
"376","19800112","4","0","14","3","0.4","-1.8","0","104280","0"
"377","19800113","2","5.9","52","0.8","0.2","-2.6","0","103670","0"
"378","19800114","7","2.9","38","3.8","-1.5","-3.8","0","102090","0"
"379","19800115","7","0.1","17","5.5","-0.1","-4","0.1","101540","0"
"380","19800116","4","2.5","36","4.6","3","0.5","0","102000","0"
"381","19800117","4","6.3","57","2","2.4","0.2","0","101940","0"
"382","19800118","7","0","15","4.8","1.2","0.5","0","101220","0"
"383","19800119","8","0","16","6.7","1.8","-1.2","0.4","100550","0"
"384","19800120","4","3.7","45","8.8","4.2","1.6","7.9","100470","0"
"385","19800121","7","0.7","25","9.1","4.8","0.8","2.3","98930","0"
"386","19800122","4","4.8","53","9.1","6.4","3.7","0.3","98960","0"
"387","19800123","5","6.3","61","8","6.1","3.1","0","99430","0"
"388","19800124","1","7.1","66","8","3.5","-1","0","100300","0"
"389","19800125","2","6.6","64","5.1","3.1","-1.8","0","101770","0"
"390","19800126","3","2.9","44","3.2","1.6","-1.8","0","102730","0"
"391","19800127","4","0.6","26","6.1","-0.5","-4.2","0","103100","0"
"392","19800128","7","0.1","20","9","1.6","-3","0","102310","0"
"393","19800129","8","0.4","25","11.4","6","3","0.2","101610","0"
"394","19800130","6","4.2","55","10.1","7.6","3.9","5","100480","0"
"395","19800131","7","0.7","29","8.5","8.2","6.2","3.3","98510","0"
"396","19800201","6","2.5","45","10.2","3.2","-2.1","3","100900","0"
"397","19800202","7","0.9","32","10.4","4.9","-0.4","2","100130","0"
